Campana;Etapa_Pago;Fecha;Archivo_Origen;Carpeta;Tabaco;Clase;Porcentaje;Adelanto_1;Adelanto_2;Incremento;Precio_Total_Acumulado;Comprador;Vendedor;Adelanto_1_USD;Adelanto_2_USD;Incremento_USD;Precio_Total_Acumulado_USD
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C1L;82;68.06;123.0;41.91;232.97;359.593;379.175;0.1794949561548098;0.3243884749785719;0.11052943891343046;0.6144128700468121
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C1F;94;78.02;141.0;48.043;267.063;359.593;379.175;0.20576251071405022;0.37185995912177755;0.12670402848289047;0.7043264983187182
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B1L;88;73.04;132.0;44.977;250.017;359.593;379.175;0.19262873343443002;0.3481242170501747;0.11861805235049779;0.6593710028351025
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B1F;100;83.0;150.0;51.11;284.11;359.593;379.175;0.21889628799367047;0.39559570119338033;0.1347926419199578;0.7492846311070086
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;T1L;78;64.74;117.0;39.866;221.606;359.593;379.175;0.17073910463506295;0.3085646469308367;0.105138788158502;0.5844425397244016
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;T1F;90;74.7;135.0;45.999;255.699;359.593;379.175;0.19700665919430344;0.3560361310740423;0.12131337772796202;0.6743561679963078
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B3L;64;53.12;96.0;32.71;181.83;359.593;379.175;0.1400936243159491;0.2531812487637634;0.08626623590690315;0.47954110898661567
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B3KL;39;32.37;58.5;19.933;110.803;359.593;379.175;0.08536955231753147;0.15428232346541834;0.052569394079251;0.2922212698622008
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;VIRGINIA;B1FR;85;54.4;127.5;45.11;227.01;359.593;379.175;0.14346937429946593;0.3362563460143733;0.11896881387222258;0.5986945341860618
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C3F;71;58.93;106.5;36.288;201.718;359.593;379.175;0.15541636447550602;0.28087294784730005;0.09570251203270257;0.5319918243555086
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B3KF;44;36.52;66.0;22.488;125.008;359.593;379.175;0.09631436671721501;0.17406210852508736;0.05930770752291158;0.32968418276521394
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;VIRGINIA;T1FR;80;51.2;120.0;42.456;213.656;359.593;379.175;0.13502999934067383;0.3164765609547043;0.11196940726577438;0.5634759675611525
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;VIRGINIA;T1F;90;57.6;135.0;47.763;240.363;359.593;379.175;0.15190874925825806;0.3560361310740423;0.12596558317399617;0.6339104635062965
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;H3F;80;66.4;120.0;40.888;227.288;359.593;379.175;0.1751170303949364;0.3164765609547043;0.10783411353596624;0.5994277048856069
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;H2F;95;78.85;142.5;48.555;269.905;359.593;379.175;0.2079514735939869;0.37581591613371135;0.12805432847629722;0.7118217182039954
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;H1F;105;87.15;157.5;53.666;298.316;359.593;379.175;0.229841102393354;0.4153754862530494;0.141533592668293;0.7867501813146963
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;N5B;15;12.45;22.5;7.667;42.617;359.593;379.175;0.032834443199050566;0.059339355179007056;0.02022021494033098;0.1123940133183886
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;N5X;17;14.11;25.5;8.689;48.299;359.593;379.175;0.03721236895892398;0.06725126920287466;0.022915540317795212;0.12737917847959385
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;N5K;15;12.45;22.5;7.667;42.617;359.593;379.175;0.032834443199050566;0.059339355179007056;0.02022021494033098;0.1123940133183886
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;NVB;20;16.6;30.0;10.222;56.822;359.593;379.175;0.0437792575987341;0.07911914023867607;0.02695852838399156;0.14985692622140173
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;NVC;20;16.6;30.0;10.222;56.822;359.593;379.175;0.0437792575987341;0.07911914023867607;0.02695852838399156;0.14985692622140173
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;N5C;17;14.11;25.5;8.689;48.299;359.593;379.175;0.03721236895892398;0.06725126920287466;0.022915540317795212;0.12737917847959385
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;X4L;26;21.58;39.0;13.289;73.869;359.593;379.175;0.056913034878354314;0.1028548823102789;0.03504714182105888;0.1948150590096921
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;X4F;39;32.37;58.5;19.933;110.803;359.593;379.175;0.08536955231753147;0.15428232346541834;0.052569394079251;0.2922212698622008
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C4L;37;30.71;55.5;18.911;105.121;359.593;379.175;0.08099162655765807;0.14637040944155072;0.049874068701786775;0.2772361047009956
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C4F;50;41.5;75.0;25.555;142.055;359.593;379.175;0.10944814399683524;0.19779785059669017;0.0673963209599789;0.3746423155535043
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C3L;59;48.97;88.5;30.155;167.625;359.593;379.175;0.12914880991626557;0.2334014637040944;0.07952792246324257;0.44207819608360255
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B4L;43;35.69;64.5;21.977;122.167;359.593;379.175;0.0941254038372783;0.17010615151315356;0.05796004483417947;0.32219160018461135
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;B4F;48;39.84;72.0;24.533;136.373;359.593;379.175;0.10507021823696183;0.18988593657282257;0.06470099558251467;0.359657150392299
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;X3K;27;22.41;40.5;13.8;76.71;359.593;379.175;0.059101997758291024;0.10681083932221269;0.036394804509791;0.20230764159029468
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;X3L;48;39.84;72.0;24.533;136.373;359.593;379.175;0.10507021823696183;0.18988593657282257;0.06470099558251467;0.359657150392299
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;X3F;60;49.8;90.0;30.666;170.466;359.593;379.175;0.13133777279620226;0.23735742071602822;0.08087558515197468;0.4495707786642052
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;C3K;39;32.37;58.5;19.933;110.803;359.593;379.175;0.08536955231753147;0.15428232346541834;0.052569394079251;0.2922212698622008
2022-2023;Adelanto / 1ra Grilla;2023-12-01;0001003-Anexo.pdf;Campana_2022-2023;CRIOLLO MISIONERO;NVX;20;16.6;30.0;10.222;56.822;359.593;379.175;0.0437792575987341;0.07911914023867607;0.02695852838399156;0.14985692622140173
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X3K;41;205.0;110.7;110.7;315.7;921.932;980.752;0.20902328009527385;0.11287257125144788;0.11287257125144788;0.3218958513467217
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B3F;78;390.0;210.6;210.6;600.6;921.932;980.752;0.39765404505930146;0.2147331843320228;0.2147331843320228;0.6123872293913243
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B3FR;63;315.0;170.1;170.1;485.1;921.932;980.752;0.3211821133171281;0.17343834119124918;0.17343834119124918;0.49462045450837727
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B3K;33;165.0;89.1;89.1;254.1;921.932;980.752;0.16823824983278138;0.09084865490970194;0.09084865490970194;0.2590869047424833
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C2;80;200.0;392.0;392.0;592.0;921.932;980.752;0.20392515131246228;0.3996932965724261;0.3996932965724261;0.6036184478848884
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;NX;30;150.0;81.0;81.0;231.0;921.932;980.752;0.15294386348434671;0.08258968628154723;0.08258968628154723;0.23553354976589394
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;NB;25;125.0;67.5;67.5;192.5;921.932;980.752;0.12745321957028893;0.06882473856795603;0.06882473856795603;0.19627795813824495
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C1;100;250.0;490.0;490.0;740.0;921.932;980.752;0.25490643914057787;0.4996166207155326;0.4996166207155326;0.7545230598561105
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C3K;37;185.0;99.9;99.9;284.9;921.932;980.752;0.18863076496402761;0.10186061308057491;0.10186061308057491;0.2904913780446025
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;NG;10;50.0;27.0;27.0;77.0;921.932;980.752;0.05098128782811557;0.02752989542718241;0.02752989542718241;0.07851118325529798
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C3F;70;350.0;189.0;189.0;539.0;921.932;980.752;0.356869014796809;0.19270926799027685;0.19270926799027685;0.5495782827870859
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X1L;75;375.0;202.5;202.5;577.5;921.932;980.752;0.3823596587108668;0.20647421570386806;0.20647421570386806;0.5888338744147349
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T3K;29;145.0;78.3;78.3;223.3;921.932;980.752;0.14784573470153514;0.07983669673882898;0.07983669673882898;0.22768243144036415
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X2F;79;395.0;213.3;213.3;608.3;921.932;980.752;0.40275217384211304;0.21748617387474103;0.21748617387474103;0.620238347716854
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X2L;65;325.0;175.5;175.5;500.5;921.932;980.752;0.33137837088275124;0.17894432027668566;0.17894432027668566;0.5103226911594368
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C2F;86;430.0;232.2;232.2;662.2;921.932;980.752;0.43843907532179394;0.2367571006737687;0.2367571006737687;0.6751961759955627
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C2L;73;365.0;197.1;197.1;562.1;921.932;980.752;0.37216340114524366;0.20096823661843158;0.20096823661843158;0.5731316377636753
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B2FR;77;385.0;207.9;207.9;592.9;921.932;980.752;0.3925559162764899;0.21198019478930455;0.21198019478930455;0.6045361110657944
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B2F;92;460.0;248.4;248.4;708.4;921.932;980.752;0.46902784801866326;0.25327503793007816;0.25327503793007816;0.7223028859487414
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T2FR;70;350.0;189.0;189.0;539.0;921.932;980.752;0.356869014796809;0.19270926799027685;0.19270926799027685;0.5495782827870859
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T2F;80;400.0;216.0;216.0;616.0;921.932;980.752;0.40785030262492455;0.22023916341745928;0.22023916341745928;0.6280894660423838
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X1F;89;445.0;240.3;240.3;685.3;921.932;980.752;0.4537334616702286;0.24501606930192343;0.24501606930192343;0.698749530972152
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;B1;90;225.0;441.0;441.0;666.0;921.932;980.752;0.22941579522652006;0.4496549586439793;0.4496549586439793;0.6790707538704994
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C3L;57;285.0;153.9;153.9;438.9;921.932;980.752;0.29059334062025877;0.15692040393493972;0.15692040393493972;0.44751374455519843
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;B2;75;187.5;367.5;367.5;555.0;921.932;980.752;0.1911798293554334;0.37471246553664944;0.37471246553664944;0.5658922948920828
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;X1;82;246.0;246.0;246.0;492.0;921.932;980.752;0.25082793611432863;0.25082793611432863;0.25082793611432863;0.5016558722286573
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;X1;50;125.0;245.0;245.0;370.0;921.932;980.752;0.12745321957028893;0.2498083103577663;0.2498083103577663;0.37726152992805523
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C1F;96;480.0;259.2;259.2;739.2;921.932;980.752;0.4894203631499095;0.26428699610095113;0.26428699610095113;0.7537073592508606
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;N;10;40.0;44.0;44.0;84.0;921.932;980.752;0.04078503026249246;0.0448635332887417;0.0448635332887417;0.08564856355123415
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;X4;17;68.0;74.8;74.8;142.8;921.932;980.752;0.06933455144623718;0.07626800659086089;0.07626800659086089;0.1456025580370981
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;X2;37;148.0;162.8;162.8;310.8;921.932;980.752;0.1509046119712221;0.1659950731683443;0.1659950731683443;0.3168996851395664
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;T4;23;92.0;101.2;101.2;193.2;921.932;980.752;0.09380556960373265;0.10318612656410592;0.10318612656410592;0.19699169616783854
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;T2;47;188.0;206.8;206.8;394.8;921.932;980.752;0.19168964223371454;0.210858606457086;0.210858606457086;0.4025482486908006
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C2;60;240.0;264.0;264.0;504.0;921.932;980.752;0.24471018157495475;0.2691811997324502;0.2691811997324502;0.513891381307405
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C1;88;352.0;387.2;387.2;739.2;921.932;980.752;0.3589082663099336;0.39479909294092697;0.39479909294092697;0.7537073592508606
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;B3;50;200.0;220.0;220.0;420.0;921.932;980.752;0.20392515131246228;0.2243176664437085;0.2243176664437085;0.4282428177561708
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;B2;92;368.0;404.8;404.8;772.8;921.932;980.752;0.3752222784149306;0.41274450625642367;0.41274450625642367;0.7879667846713542
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;B1;100;400.0;440.0;440.0;840.0;921.932;980.752;0.40785030262492455;0.448635332887417;0.448635332887417;0.8564856355123416
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;N4;1;123.0;123.0;123.0;246.0;921.932;980.752;0.12541396805716432;0.12541396805716432;0.12541396805716432;0.25082793611432863
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;T;64;192.0;192.0;192.0;384.0;921.932;980.752;0.1957681452599638;0.1957681452599638;0.1957681452599638;0.3915362905199276
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;X2;62;186.0;186.0;186.0;372.0;921.932;980.752;0.18965039072058992;0.18965039072058992;0.18965039072058992;0.37930078144117985
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C3;76;228.0;228.0;228.0;456.0;921.932;980.752;0.232474672496207;0.232474672496207;0.232474672496207;0.464949344992414
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C2;89;267.0;267.0;267.0;534.0;921.932;980.752;0.27224007700213715;0.27224007700213715;0.27224007700213715;0.5444801540042743
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;C1;100;300.0;300.0;300.0;600.0;921.932;980.752;0.30588772696869343;0.30588772696869343;0.30588772696869343;0.6117754539373869
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;ND;41;61.5;116.85;116.85;178.35;921.932;980.752;0.06270698402858216;0.11914326965430608;0.11914326965430608;0.18185025368288824
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;CH3;75;112.5;213.75;213.75;326.25;921.932;980.752;0.11470789761326003;0.21794500546519407;0.21794500546519407;0.3326529030784541
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;CH2;89;133.5;253.65;253.65;387.15;921.932;980.752;0.13612003850106857;0.2586280731520303;0.2586280731520303;0.39474811165309887
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;CH1;100;150.0;285.0;285.0;435.0;921.932;980.752;0.15294386348434671;0.29059334062025877;0.29059334062025877;0.44353720410460545
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;N5;15;37.5;73.5;73.5;111.0;921.932;980.752;0.03823596587108668;0.0749424931073299;0.0749424931073299;0.11317845897841657
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;N4;25;62.5;122.5;122.5;185.0;921.932;980.752;0.06372660978514447;0.12490415517888315;0.12490415517888315;0.18863076496402761
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;BURLEY;T1;60;150.0;294.0;294.0;444.0;921.932;980.752;0.15294386348434671;0.2997699724293196;0.2997699724293196;0.45271383591366626
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C1L;83;415.0;224.1;224.1;639.1;921.932;980.752;0.4231446889733592;0.22849813204561398;0.22849813204561398;0.6516428210189733
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B1FR;85;425.0;229.5;229.5;654.5;921.932;980.752;0.43334094653898236;0.23400411113105046;0.23400411113105046;0.6673450576700328
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B1F;100;500.0;270.0;270.0;770.0;921.932;980.752;0.5098128782811557;0.2752989542718241;0.2752989542718241;0.7851118325529798
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B3F;75;450.0;191.25;191.25;641.25;921.932;980.752;0.4588315904530401;0.19500342594254205;0.19500342594254205;0.6538350163955822
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X2K;36;216.0;91.8;91.8;307.8;921.932;980.752;0.22023916341745928;0.09360164445242018;0.09360164445242018;0.31384080786987945
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X2L;61;366.0;155.55;155.55;521.55;921.932;980.752;0.373183026901806;0.15860278643326756;0.15860278643326756;0.5317858133350735
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X2F;74;444.0;188.7;188.7;632.7;921.932;980.752;0.45271383591366626;0.19240338026330817;0.19240338026330817;0.6451172161769745
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C2K;48;288.0;122.4;122.4;410.4;921.932;980.752;0.29365221788994567;0.12480219260322692;0.12480219260322692;0.41845441049317256
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C2L;72;432.0;183.6;183.6;615.6;921.932;980.752;0.44047832683491855;0.18720328890484036;0.18720328890484036;0.6276816157397589
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C2F;85;510.0;216.75;216.75;726.75;921.932;980.752;0.5200091358467788;0.221003882734881;0.221003882734881;0.7410130185816598
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B2KF;53;318.0;135.15;135.15;453.15;921.932;980.752;0.32424099058681505;0.1378024209993964;0.1378024209993964;0.46204341158621137
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B2KL;48;288.0;122.4;122.4;410.4;921.932;980.752;0.29365221788994567;0.12480219260322692;0.12480219260322692;0.41845441049317256
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B2L;78;468.0;198.9;198.9;666.9;921.932;980.752;0.47718485407116173;0.20280356298024374;0.20280356298024374;0.6799884170514054
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B3L;64;384.0;163.2;163.2;547.2;921.932;980.752;0.3915362905199276;0.16640292347096922;0.16640292347096922;0.5579392139908969
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B2F;91;546.0;232.05;232.05;778.05;921.932;980.752;0.556715663083022;0.23660415681028438;0.23660415681028438;0.7933198198933064
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T2KL;35;210.0;89.25;89.25;299.25;921.932;980.752;0.2141214088780854;0.0910015987731863;0.0910015987731863;0.3051230076512717
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T2L;68;408.0;173.4;173.4;581.4;921.932;980.752;0.4160073086774231;0.17680310618790482;0.17680310618790482;0.5928104148653278
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T2F;81;486.0;206.55;206.55;692.55;921.932;980.752;0.49553811768928335;0.21060370001794543;0.21060370001794543;0.7061418177072287
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X1L;71;426.0;181.05;181.05;607.05;921.932;980.752;0.43436057229554464;0.1846032432256065;0.1846032432256065;0.6189638155211511
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;X1F;83;498.0;211.65;211.65;709.65;921.932;980.752;0.5077736267680311;0.21580379137641323;0.21580379137641323;0.7235774181444443
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C1L;82;492.0;209.1;209.1;701.1;921.932;980.752;0.5016558722286573;0.21320374569717931;0.21320374569717931;0.7148596179258365
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;C1F;94;564.0;239.7;239.7;803.7;921.932;980.752;0.5750689267011436;0.24440429384798604;0.24440429384798604;0.8194732205491297
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B1L;88;528.0;224.4;224.4;752.4;921.932;980.752;0.5383623994649004;0.2288040197725827;0.2288040197725827;0.7671664192374831
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;B1F;100;600.0;255.0;255.0;855.0;921.932;980.752;0.6117754539373869;0.2600045679233894;0.2600045679233894;0.8717800218607763
2023-2024;Adelanto / 1ra Grilla;2024-08-09;0001003-Anexo.pdf;Campana_2023-2024;VIRGINIA;T1L;78;468.0;198.9;198.9;666.9;921.932;980.752;0.47718485407116173;0.20280356298024374;0.20280356298024374;0.6799884170514054
