provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
CORRIENTES;CR. CORRENTINO;False;False;929027.0;424491981.9;456.92;190517220.0;205.07;615009201.89;661.99;2022/2023
CORRIENTES;VIRGINIA;False;False;1011.0;602712.0;596.15;285394.17;282.29;888106.17;878.44;2022/2023
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;80786235.0;193055733663.75;2389.71;68632089416.89;849.55;261687823080.64;3239.26;2023/2024
JUJUY;SUBTOTAL_PROVINCIAL;True;False;28840827.0;69717346534.2;2417.31;24782771074.65;859.29;94500117608.85;3276.61;2023/2024
JUJUY;VIRGINIA;False;False;28840827.0;69717346534.2;2417.31;24782771074.65;859.29;94500117608.85;3276.61;2023/2024
SALTA;SUBTOTAL_PROVINCIAL;True;False;30804553.0;72615288553.27;2357.29;25813343366.75;837.97;98428631920.02;3195.26;2023/2024
SALTA;VIRGINIA;False;False;30804553.0;72615288553.27;2357.29;25813343366.75;837.97;98428631920.02;3195.26;2023/2024
MISIONES;SUBTOTAL_PROVINCIAL;True;False;13244655.0;32083679007.28;2422.39;11580305104.25;874.34;43663984111.53;3296.72;2023/2024
MISIONES;BURLEY;False;False;13218417.0;32019085600.0;2422.31;11557473608.84;874.35;43576559208.84;3296.65;2023/2024
MISIONES;CR. MISIONERO;False;False;23363.0;56355788.0;2412.18;20040781.4;857.8;76396569.4;3269.98;2023/2024
MISIONES;VIRGINIA;False;False;2875.0;8237619.28;2865.26;2790714.01;970.68;11028333.29;3835.94;2023/2024
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;698396.0;1744577175.89;2497.98;574611617.14;822.76;2319188793.03;3320.74;2023/2024
CATAMARCA;BURLEY;False;False;685031.0;1710904415.89;2497.56;562639954.98;821.34;2273544370.87;3318.89;2023/2024
CATAMARCA;CR. ARGENTINO;False;False;13365.0;33672760.0;2519.47;11971662.16;895.75;45644422.16;3415.22;2023/2024
CHACO;SUBTOTAL_PROVINCIAL;True;False;309752.0;508152800.16;1640.51;183490331.0;592.38;691643131.16;2232.89;2023/2024
CHACO;VIRGINIA;False;False;134143.0;271848719.16;2026.56;99483454.48;741.62;371332173.64;2768.18;2023/2024
CHACO;CR. CHAQUEÑO;False;False;175609.0;236304081.0;1345.63;84006876.52;478.37;320310957.52;1824.0;2023/2024
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;6314325.0;15216349715.23;2409.81;5279069204.92;836.05;20495418920.15;3245.86;2023/2024
TUCUMAN;VIRGINIA;False;False;17473.0;38695454.7;2214.59;14621489.82;836.8;53316944.52;3051.39;2023/2024
TUCUMAN;BURLEY;False;False;6240401.0;15030639370.53;2408.6;5212179497.25;835.23;20242818867.78;3243.83;2023/2024
