mes,precio_inferior,precio_promedio_ponderado,precio_superior,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
ago-10,0.86,10.87,79.81,8.47,100.0,,,
sep-10,1.13,11.71,85.78,1.38,100.0,,,
oct-10,0.72,10.04,44.68,44.56,100.0,,,
nov-10,0.68,9.49,44.63,45.2,100.0,,,
dic-10,0.62,7.91,46.0,45.47,100.0,,,
ene-11,0.78,7.88,46.72,44.63,100.0,,,
feb-11,0.79,9.65,54.87,34.69,100.0,,,
mar-11,0.65,8.81,44.87,45.66,100.0,,,
abr-11,0.78,8.75,44.17,46.29,100.0,,,
may-11,0.73,8.79,43.89,46.59,100.0,,,
jun-11,0.83,9.54,49.3,40.33,100.0,,,
jul-11,0.74,9.39,42.83,47.04,100.0,,,
ago-11,5.94,8.91,40.98,44.16,100.0,,,
sep-11,0.81,9.33,42.72,47.15,100.0,,,
oct-11,0.7,9.09,54.34,35.87,100.0,,,
nov-11,0.81,8.51,46.55,44.14,100.0,,,
dic-11,0.58,8.04,43.99,47.39,100.0,,,
ene-12,0.72,7.51,45.01,46.77,100.0,,,
feb-12,0.68,7.77,44.98,46.58,100.0,,,
mar-12,0.76,8.55,39.43,51.26,100.0,,,
abr-12,0.77,7.38,32.56,59.3,100.0,,,
may-12,0.66,7.4,32.21,59.73,100.0,,,
jun-12,0.79,7.4,32.21,59.59,100.0,,,
jul-12,0.78,8.24,45.46,45.52,100.0,,,
ago-12,0.71,7.75,44.92,46.61,100.0,,,
sep-12,0.77,7.87,42.33,49.03,100.0,,,
oct-12,0.79,8.47,44.99,45.75,100.0,,,
nov-12,0.72,8.02,44.16,47.1,100.0,,,
dic-12,0.7,7.73,42.74,48.83,100.0,,,
ene-13,0.79,4.98,36.52,57.7,100.0,,,
feb-13,0.9,4.32,33.98,60.8,100.0,,,
Mzo-13,0.73,4.48,33.38,61.41,100.0,,,
abr-13,0.86,3.86,47.29,48.0,100.0,,,
